"'","'II. DETAILS OF TAX DEDUCTED (The deductor to","'AND DEPOSITED IN THE provide payment wise details of tax","'CENTRAL GOVERNMENT deducted and deposited with","'ACCOUNT THROUGH respect to the deductee)","'CHALLAN",
"'SI. No.","'Tax Deposited in respect of the","'","'Challan Identification","'Number (CIN)","'",
"'","'deductee (Rs.)","'BSR Code of the Bank Branch","'Date on which Tax deposited (dd/mm/yyyy)","'Challan Serial Number","'Status of matching with OLTAS*",
"'1","'20912.00","'6390340","'04-05-2021","'04357","'F",
"'2","'20912.00","'6390340","'02-06-2021","'01139","'F",
"'3","'116622.00","'6390340","'06-07-2021","'07512","'F",
"'4","'33164.00","'6390340","'04-08-2021","'04966","'F",
,,,,,

'Confidence Scores % (Table Cell)
""'94.97070313","'94.97070313","'94.97070313","'94.97070313","'94.97070313","'94.97070313",
"'93.40820313","'96.09375000","'94.18945313","'94.18945313","'94.18945313","'94.18945313",
"'93.40820313","'96.09375000","'91.60156250","'92.72460938","'91.35742188","'90.33203125",
"'88.08593750","'90.57617188","'89.11132813","'90.23437500","'88.91601563","'87.93945313",
"'87.79296875","'90.28320313","'88.86718750","'89.94140625","'88.62304688","'87.64648438",
"'87.45117188","'89.89257813","'88.47656250","'89.59960938","'88.23242188","'87.30468750",
"'90.67382813","'93.21289063","'91.74804688","'92.91992188","'91.50390625","'90.52734375",
