"'","'Summary of amount","'paid/credited and tax deducted at","'source thereon in respect of the","'employee",
"'Quarter(s)","'Receipt Numbers of original quarterly statements of TDS under sub-section (3) of Section 200","'Amount paid/credited","'Amount of tax deducted (Rs.)","'Amount of tax deposited / remitted (Rs.)",
"'Q1","'XXXXXXXXX","'762578.00","'158446.00","'158446.00",
"'Q2","'XXXXXXXXX","'571506.00","'99247.00","'99247.00",
"'Q3","'XXXXXXXXX","'592463.00","'105051.00","'105051.00",
"'Q4","'XXXXXXXXX","'631436.00","'120996.00","'120996.00",
"'Total (Rs.)","'","'2557983.00","'483740.00","'483740.00",
,,,,

'Confidence Scores % (Table Cell)
""'91.40625000","'91.40625000","'91.40625000","'91.40625000","'91.40625000",
"'90.82031250","'94.18945313","'93.31054688","'94.48242188","'93.65234375",
"'85.25390625","'88.37890625","'87.59765625","'88.67187500","'87.89062500",
"'85.98632813","'89.16015625","'88.33007813","'89.40429688","'88.62304688",
"'86.66992188","'89.84375000","'89.01367188","'90.13671875","'89.35546875",
"'85.10742188","'88.23242188","'87.45117188","'88.52539063","'87.74414063",
"'80.46875000","'83.44726563","'82.66601563","'83.69140625","'82.95898438",
