"'(f)","'Amount of any other exemption under section 10 [Note: Break-up to be filled and signed by employer in the table provide at the bottom of this form]","'","'",
"'(g)","'Total amount of any other exemption under section 10","'0.00","'",
"'(h)","'Total amount of exemption claimed under section 10 [2(a)+2(b)+2(c)+2(d)+2(e)+2(g)]","'","'180150.00",
"'3.","'Total amount of salary received from current employer [1(d)-2(h)]","'","'2377833.00",
"'4.","'Less: Deductions under section 16","'","'",
"'(a)","'Standard deduction under section 16(ia)","'50000.00","'",
"'(b)","'Entertainment allowance under section 16(ii)","'0.00","'",
"'(c)","'Tax on employment under section 16(iii)","'2400.00","'",
"'5.","'Total amount of deductions under section 16 [4(a)+4(b)+4(c)]","'","'52400.00",
"'6.","'Income chargeable under the head ""Salaries" [(3+1(e)-5]","'","'2325433.00",
"'7.","'Add: Any other income reported by the employee under as per section","'192 (2B)","'",
"'(a)","'Income (or admissible loss) from house property reported by employee offered for TDS","'0.00","'",
"'(b)","'Income under the head Other Sources offered for TDS","'0.00","'",
"'8.","'Total amount of other income reported by the employee [7(a)+7(b)]","'","'0.00",
"'9.","'Gross total income (6+8)","'","'2325433.00",
"'10.","'Deductions under Chapter VI-A","'Gross Amount","'Deductible Amount",
"'(a)","'Deduction in respect of life insurance premia, contributions to provident fund etc. under section 80C","'150000.00","'150000.00",
"'(b)","'Deduction in respect of contribution to certain pension funds under section 80CCC","'0.00","'0.00",
"'(c)","'Deduction in respect of contribution by taxpayer to pension scheme under section 80CCD (1)","'0.00","'0.00",
"'(d)","'Total deduction under section 80C, 80CCC and 80CCD(1)","'150000.00","'150000.00",
"'(e)","'Deductions in respect of amount paid/deposited to notified pension scheme under section 80CCD (1B)","'0.00","'0.00",
,,,

'Confidence Scores % (Table Cell)
""'93.31054688","'95.94726563","'95.31250000","'95.21484375",
"'90.03906250","'92.62695313","'91.99218750","'91.89453125",
"'92.48046875","'95.06835938","'94.48242188","'94.38476563",
"'92.57812500","'95.16601563","'94.58007813","'94.48242188",
"'80.37109375","'77.39257813","'77.39257813","'77.39257813",
"'87.59765625","'90.08789063","'89.50195313","'89.40429688",
"'92.43164063","'95.01953125","'94.43359375","'94.33593750",
"'86.81640625","'89.25781250","'88.67187500","'88.62304688",
"'91.99218750","'94.62890625","'93.99414063","'93.89648438",
"'92.91992188","'95.55664063","'94.92187500","'94.82421875",
"'85.25390625","'83.34960938","'83.34960938","'83.34960938",
"'93.26171875","'95.89843750","'95.26367188","'95.16601563",
"'90.57617188","'93.11523438","'92.52929688","'92.43164063",
"'92.08984375","'94.67773438","'94.09179688","'93.99414063",
"'86.37695313","'88.86718750","'88.28125000","'88.18359375",
"'90.47851563","'93.01757813","'92.43164063","'92.33398438",
"'92.33398438","'94.92187500","'94.33593750","'94.23828125",
"'92.28515625","'94.87304688","'94.28710938","'94.18945313",
"'91.74804688","'94.38476563","'93.75000000","'93.65234375",
"'91.45507813","'94.04296875","'93.40820313","'93.31054688",
"'93.26171875","'95.89843750","'95.26367188","'95.16601563",
